optimizer_log
Your initial point x0 is not between bounds lb and ub; FMINCON
shifted x0 to strictly satisfy the bounds.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0      87    3.341329e+04    9.900e-01    1.943e+03
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
    1     174    1.735379e+04    9.671e-01    2.113e+03    1.791e+01
    2     261    1.449416e+04    9.646e-01    2.291e+03    5.743e+00
    3     348    1.182718e+04    9.623e-01    3.057e+03    8.517e+00
    4     435    1.102507e+04    9.514e-01    3.373e+03    5.630e+00
    5     523    1.051310e+04    9.443e-01    3.330e+03    3.509e+00
    6     610    9.116363e+03    9.369e-01    2.929e+03    9.568e+00
    7     697    7.938144e+03    9.265e-01    2.388e+03    1.047e+01
    8     784    7.330318e+03    9.092e-01    2.165e+03    3.781e+00
    9     872    7.281097e+03    9.021e-01    2.533e+03    3.981e+00
   10     959    6.635536e+03    8.105e-01    2.182e+03    9.656e+00
   11    1046    6.469998e+03    7.997e-01    1.947e+03    4.618e+00
   12    1133    6.076137e+03    7.781e-01    1.758e+03    2.039e+00
   13    1220    5.833634e+03    7.654e-01    2.473e+03    9.403e+00
   14    1308    5.603051e+03    6.754e-01    2.390e+03    5.559e+00
   15    1397    5.539953e+03    6.615e-01    1.827e+03    4.574e+00
   16    1484    5.036248e+03    5.578e-01    1.787e+03    8.290e+00
   17    1572    4.990643e+03    4.813e-01    1.619e+03    6.380e+00
   18    1659    4.898515e+03    4.562e-01    1.368e+03    4.245e+00
   19    1746    4.896722e+03    3.497e-01    9.962e+02    6.168e+00
   20    1834    4.820421e+03    2.518e-01    1.031e+03    4.902e+00
   21    1922    4.786635e+03    2.381e-01    8.696e+02    2.186e+00
   22    2012    4.780795e+03    2.323e-01    8.377e+02    1.751e+00
   23    2100    4.767207e+03    1.700e-01    7.129e+02    6.179e+00
   24    2187    4.759133e+03    1.513e-01    6.819e+02    3.509e+00
   25    2277    4.759200e+03    1.415e-01    6.575e+02    6.424e-01
   26    2365    4.746147e+03    1.337e-01    4.661e+02    3.491e+00
   27    2453    4.739118e+03    1.133e-01    4.727e+02    2.785e+00
   28    2542    4.736223e+03    8.510e-02    4.355e+02    1.336e+00
   29    2631    4.728695e+03    8.015e-02    4.958e+02    4.823e+00
   30    2720    4.721223e+03    7.618e-02    3.848e+02    2.875e+00

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31    2808    4.711851e+03    4.172e-02    3.765e+02    4.043e+00
   32    2897    4.704140e+03    3.712e-02    3.397e+02    1.547e+00
   33    2986    4.703125e+03    2.789e-02    3.790e+02    2.053e+00
   34    3075    4.691880e+03    2.744e-02    3.432e+02    1.972e+00
   35    3163    4.690045e+03    1.379e-02    2.056e+02    1.197e+00
   36    3252    4.686626e+03    1.285e-02    1.718e+02    1.584e+00
   37    3346    4.684644e+03    1.100e-02    1.686e+01    9.930e-02
   38    3440    4.684399e+03    9.017e-03    1.173e+01    2.979e-01
   39    3535    4.684322e+03    8.814e-03    9.229e+00    1.758e-02
   40    3631    4.684327e+03    8.724e-03    7.808e+00    1.065e-02
   41    3719    4.684312e+03    8.709e-03    8.644e+00    1.831e-02
   42    3810    4.684351e+03    8.354e-03    3.205e+00    6.015e-02
   43    3899    4.684337e+03    8.343e-03    1.083e+01    4.421e-02
   44    3990    4.684478e+03    7.662e-03    1.122e+01    1.186e-01
   45    4080    4.684473e+03    7.651e-03    1.516e+01    4.593e-02
   46    4171    4.684517e+03    7.026e-03    5.565e+00    1.114e-01
   47    4259    4.684218e+03    6.872e-03    1.018e+01    2.897e-01
   48    4353    4.684490e+03    5.890e-03    1.182e+01    2.167e-01
   49    4443    4.684480e+03    5.852e-03    1.350e+01    4.718e-02
   50    4530    4.684380e+03    5.180e-03    3.658e+01    2.134e+00
   51    4618    4.684326e+03    3.545e-03    4.645e+01    1.460e+00
   52    4708    4.684377e+03    3.104e-03    4.169e+01    2.078e-01
   53    4796    4.684660e+03    1.560e-03    1.601e+01    1.007e+00
   54    4883    4.685226e+03    7.799e-06    2.167e+00    2.859e-01
   55    4978    4.685226e+03    7.592e-06    1.964e+00    4.494e-02
   56    5065    4.685217e+03    3.796e-08    8.136e-01    9.585e-02
   57    5162    4.685216e+03    3.776e-08    6.837e-01    8.536e-03
   58    5250    4.685216e+03    3.725e-08    6.574e-01    7.611e-04
   59    5338    4.685215e+03    1.872e-08    3.114e-01    3.590e-02
   60    5428    4.685214e+03    1.639e-08    1.472e-01    9.187e-03

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   61    5524    4.685214e+03    1.633e-08    7.880e-02    6.340e-03
   62    5613    4.685214e+03    1.227e-08    1.895e-01    6.810e-03
   63    5701    4.685214e+03    6.166e-09    9.510e-02    1.162e-02
   64    5789    4.685213e+03    3.098e-09    5.956e-02    2.196e-03
   65    5878    4.685213e+03    2.328e-09    6.150e-02    2.749e-03
   66    5966    4.685213e+03    1.170e-09    3.094e-02    7.412e-04
   67    6054    4.685213e+03    5.878e-10    1.558e-02    3.372e-04
   68    6142    4.685213e+03    2.954e-10    7.328e-03    2.516e-04
   69    6230    4.685213e+03    1.484e-10    3.691e-03    1.273e-04
   70    6317    4.685213e+03    7.425e-13    7.884e-04    1.370e-04
   71    6405    4.685213e+03    3.730e-13    6.007e-04    3.001e-05
   72    6510    4.685213e+03    3.730e-13    4.760e-04    1.367e-05
   73    6601    4.685213e+03    3.730e-13    4.823e-04    1.363e-05
   74    6693    4.685213e+03    3.730e-13    1.608e-04    1.370e-05
   75    6787    4.685213e+03    3.730e-13    1.194e-04    2.916e-06
   76    6879    4.685213e+03    3.730e-13    1.428e-04    3.360e-06
   77    6971    4.685213e+03    3.730e-13    1.775e-04    3.269e-06
   78    7064    4.685213e+03    3.730e-13    1.184e-04    6.309e-07
   79    7153    4.685213e+03    3.730e-13    1.586e-04    4.129e-11
   80    7242    4.685213e+03    2.807e-13    3.414e-03    6.969e-05
   81    7330    4.685213e+03    1.403e-13    2.169e-03    3.808e-05
   82    7418    4.685213e+03    1.048e-13    5.425e-03    4.850e-05
   83    7505    4.685213e+03    5.329e-14    3.203e-03    8.841e-05
   84    7592    4.685213e+03    2.665e-14    5.367e-03    8.936e-05
   85    7679    4.685213e+03    1.421e-14    2.798e-03    7.571e-05
   86    7766    4.685213e+03    7.105e-15    8.992e-04    4.347e-05
   87    7853    4.685213e+03    3.553e-15    2.850e-04    1.723e-05
   88    7940    4.685213e+03    1.776e-15    9.127e-04    3.505e-05
   89    8037    4.685213e+03    1.776e-15    1.231e-04    2.260e-05
   90    8140    4.685213e+03    1.776e-15    9.759e-05    8.819e-08

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   91    8230    4.685213e+03    1.776e-15    6.077e-05    1.716e-07
   92    8325    4.685213e+03    1.776e-15    6.075e-05    1.241e-08
   93    8417    4.685213e+03    1.776e-15    5.268e-05    5.839e-09

<a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'local_min_poss_with_constr','CSHelpWindow');">Local minimum possible. Constraints satisfied</a>.

fmincon stopped because the <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'norm_curr_step_simple_fminconip','CSHelpWindow');">size of the current step</a> is less than
the selected value of the <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'step_size_tol','CSHelpWindow');">step size tolerance</a> and constraints are 
satisfied to within the selected value of the <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'constraint_tolerance','CSHelpWindow');">constraint tolerance</a>.

<<a href = "matlab: createExitMsg('barrier',2.000000e+00,true,true,'fmincon',7.271706e-21,'selected',1.000000e-20,1.776357e-15,'selected',1.000000e-10,0.000000e+00,'',0.000000e+00);">stopping criteria details</a>>

Your initial point x0 is not between bounds lb and ub; FMINCON
shifted x0 to strictly satisfy the bounds.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0      87    3.341329e+04    9.900e-01    1.943e+03
    1     174    1.735379e+04    9.671e-01    2.113e+03    1.791e+01
    2     261    1.449416e+04    9.646e-01    2.291e+03    5.743e+00
    3     348    1.182718e+04    9.623e-01    3.057e+03    8.517e+00
    4     435    1.102507e+04    9.514e-01    3.373e+03    5.630e+00
    5     523    1.051310e+04    9.443e-01    3.330e+03    3.509e+00
    6     610    9.116363e+03    9.369e-01    2.929e+03    9.568e+00
    7     697    7.938144e+03    9.265e-01    2.388e+03    1.047e+01
    8     784    7.330318e+03    9.092e-01    2.165e+03    3.781e+00
    9     872    7.281097e+03    9.021e-01    2.533e+03    3.981e+00
   10     959    6.635536e+03    8.105e-01    2.182e+03    9.656e+00
   11    1046    6.469998e+03    7.997e-01    1.947e+03    4.618e+00
   12    1133    6.076137e+03    7.781e-01    1.758e+03    2.039e+00
   13    1220    5.833634e+03    7.654e-01    2.473e+03    9.403e+00
   14    1308    5.603051e+03    6.754e-01    2.390e+03    5.559e+00
   15    1397    5.539953e+03    6.615e-01    1.827e+03    4.574e+00
   16    1484    5.036248e+03    5.578e-01    1.787e+03    8.290e+00
   17    1572    4.990643e+03    4.813e-01    1.619e+03    6.380e+00
   18    1659    4.898515e+03    4.562e-01    1.368e+03    4.245e+00
   19    1746    4.896722e+03    3.497e-01    9.962e+02    6.168e+00
   20    1834    4.820421e+03    2.518e-01    1.031e+03    4.902e+00
   21    1922    4.786635e+03    2.381e-01    8.696e+02    2.186e+00
   22    2012    4.780795e+03    2.323e-01    8.377e+02    1.751e+00
   23    2100    4.767207e+03    1.700e-01    7.129e+02    6.179e+00
   24    2187    4.759133e+03    1.513e-01    6.819e+02    3.509e+00
   25    2277    4.759200e+03    1.415e-01    6.575e+02    6.424e-01
   26    2365    4.746147e+03    1.337e-01    4.661e+02    3.491e+00
   27    2453    4.739118e+03    1.133e-01    4.727e+02    2.785e+00
   28    2542    4.736223e+03    8.510e-02    4.355e+02    1.336e+00
   29    2631    4.728695e+03    8.015e-02    4.958e+02    4.823e+00
   30    2720    4.721223e+03    7.618e-02    3.848e+02    2.875e+00

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31    2808    4.711851e+03    4.172e-02    3.765e+02    4.043e+00
   32    2897    4.704140e+03    3.712e-02    3.397e+02    1.547e+00
   33    2986    4.703125e+03    2.789e-02    3.790e+02    2.053e+00
   34    3075    4.691880e+03    2.744e-02    3.432e+02    1.972e+00
   35    3163    4.690045e+03    1.379e-02    2.056e+02    1.197e+00
   36    3252    4.686626e+03    1.285e-02    1.718e+02    1.584e+00
   37    3346    4.684644e+03    1.100e-02    1.686e+01    9.930e-02
   38    3440    4.684399e+03    9.017e-03    1.173e+01    2.979e-01
   39    3535    4.684322e+03    8.814e-03    9.229e+00    1.758e-02
   40    3631    4.684327e+03    8.724e-03    7.808e+00    1.065e-02
   41    3719    4.684312e+03    8.709e-03    8.644e+00    1.831e-02
   42    3810    4.684351e+03    8.354e-03    3.205e+00    6.015e-02
   43    3899    4.684337e+03    8.343e-03    1.083e+01    4.421e-02
   44    3990    4.684478e+03    7.662e-03    1.122e+01    1.186e-01
   45    4080    4.684473e+03    7.651e-03    1.516e+01    4.593e-02
   46    4171    4.684517e+03    7.026e-03    5.565e+00    1.114e-01
   47    4259    4.684218e+03    6.872e-03    1.018e+01    2.897e-01
   48    4353    4.684490e+03    5.890e-03    1.182e+01    2.167e-01
   49    4443    4.684480e+03    5.852e-03    1.350e+01    4.718e-02
   50    4530    4.684380e+03    5.180e-03    3.658e+01    2.134e+00
   51    4618    4.684326e+03    3.545e-03    4.645e+01    1.460e+00
   52    4708    4.684377e+03    3.104e-03    4.169e+01    2.078e-01
   53    4796    4.684660e+03    1.560e-03    1.601e+01    1.007e+00
   54    4883    4.685226e+03    7.799e-06    2.167e+00    2.859e-01
   55    4978    4.685226e+03    7.592e-06    1.964e+00    4.494e-02
   56    5065    4.685217e+03    3.796e-08    8.136e-01    9.585e-02
   57    5162    4.685216e+03    3.776e-08    6.837e-01    8.536e-03
   58    5250    4.685216e+03    3.725e-08    6.574e-01    7.611e-04
   59    5338    4.685215e+03    1.872e-08    3.114e-01    3.590e-02
   60    5428    4.685214e+03    1.639e-08    1.472e-01    9.187e-03

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   61    5524    4.685214e+03    1.633e-08    7.880e-02    6.340e-03
   62    5613    4.685214e+03    1.227e-08    1.895e-01    6.810e-03
   63    5701    4.685214e+03    6.166e-09    9.510e-02    1.162e-02
   64    5789    4.685213e+03    3.098e-09    5.956e-02    2.196e-03
   65    5878    4.685213e+03    2.328e-09    6.150e-02    2.749e-03
   66    5966    4.685213e+03    1.170e-09    3.094e-02    7.412e-04
   67    6054    4.685213e+03    5.878e-10    1.558e-02    3.372e-04
   68    6142    4.685213e+03    2.954e-10    7.328e-03    2.516e-04
   69    6230    4.685213e+03    1.484e-10    3.691e-03    1.273e-04
   70    6317    4.685213e+03    7.425e-13    7.884e-04    1.370e-04
   71    6405    4.685213e+03    3.730e-13    6.007e-04    3.001e-05
   72    6510    4.685213e+03    3.730e-13    4.760e-04    1.367e-05
   73    6601    4.685213e+03    3.730e-13    4.823e-04    1.363e-05
   74    6693    4.685213e+03    3.730e-13    1.608e-04    1.370e-05
   75    6787    4.685213e+03    3.730e-13    1.194e-04    2.916e-06
   76    6879    4.685213e+03    3.730e-13    1.428e-04    3.360e-06
   77    6971    4.685213e+03    3.730e-13    1.775e-04    3.269e-06
   78    7064    4.685213e+03    3.730e-13    1.184e-04    6.309e-07
   79    7153    4.685213e+03    3.730e-13    1.586e-04    4.129e-11
   80    7242    4.685213e+03    2.807e-13    3.414e-03    6.969e-05
   81    7330    4.685213e+03    1.403e-13    2.169e-03    3.808e-05
   82    7418    4.685213e+03    1.048e-13    5.425e-03    4.850e-05
   83    7505    4.685213e+03    5.329e-14    3.203e-03    8.841e-05
   84    7592    4.685213e+03    2.665e-14    5.367e-03    8.936e-05
   85    7679    4.685213e+03    1.421e-14    2.798e-03    7.571e-05
   86    7766    4.685213e+03    7.105e-15    8.992e-04    4.347e-05
   87    7853    4.685213e+03    3.553e-15    2.850e-04    1.723e-05
   88    7940    4.685213e+03    1.776e-15    9.127e-04    3.505e-05
   89    8037    4.685213e+03    1.776e-15    1.231e-04    2.260e-05
   90    8140    4.685213e+03    1.776e-15    9.759e-05    8.819e-08

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   91    8230    4.685213e+03    1.776e-15    6.077e-05    1.716e-07
   92    8325    4.685213e+03    1.776e-15    6.075e-05    1.241e-08
   93    8417    4.685213e+03    1.776e-15    5.268e-05    5.839e-09

<a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'local_min_poss_with_constr','CSHelpWindow');">Local minimum possible. Constraints satisfied</a>.

fmincon stopped because the <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'norm_curr_step_simple_fminconip','CSHelpWindow');">size of the current step</a> is less than
the selected value of the <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'step_size_tol','CSHelpWindow');">step size tolerance</a> and constraints are 
satisfied to within the selected value of the <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'constraint_tolerance','CSHelpWindow');">constraint tolerance</a>.

<<a href = "matlab: createExitMsg('barrier',2.000000e+00,true,true,'fmincon',7.271706e-21,'selected',1.000000e-20,1.776357e-15,'selected',1.000000e-10,0.000000e+00,'',0.000000e+00);">stopping criteria details</a>>


x =

    6.4570
    8.2970
    4.0010
  -15.1963
  -15.1963
  -15.1963
    5.3670
   -0.8497
    8.4431
   -4.9729
    3.9179
    8.4431
   -4.9729
   -7.2844
    3.5318
   -3.9257
    3.5962
   -2.2887
   -7.8709
   -3.1158
   -8.0665
    3.1914
   -6.2602
   -5.3862
   -0.6823
   -8.0287
  -15.1963
  -15.1963
  -15.1963
    8.7990
    8.7990
    8.7990
    5.3670
   -0.2197
    7.1143
   -9.5682
    2.7295
    7.1143
   -9.5682
  -11.5073
    5.9980
   -4.4537
    4.4603
    1.1253
    8.7990
    2.2223
    8.7990
    5.8932
  -11.8103
    1.2997
  -12.6649
   -9.7675
    0.8934
    0.1066
    0.8682
    0.1318
    0.9243
    0.0757
    0.8941
    0.1059
    0.8482
    0.1518
    0.9047
    0.0953
    0.8805
    0.1195
    0.6592
    0.3408
    0.6536
    0.3464
    0.6379
    0.3621
    0.6390
    0.3610
    0.6684
    0.3316
    0.6198
    0.3802
    0.6534
    0.3466
    0.6433
    0.3567
    0.6367
    0.3633
    0.6329
    0.3671

Your initial point x0 is not between bounds lb and ub; FMINCON
shifted x0 to strictly satisfy the bounds.

{Undefined variable "testing" or class "testing.txt".

Error in <a href="matlab:matlab.internal.language.introspective.errorDocCallback('objective_log', 'C:\Users\sarmc412\Documents\GitHub\masters_project17\MATLAB\objective_log.m', 18)" style="font-weight:bold">objective_log</a> (<a href="matlab: opentoline('C:\Users\sarmc412\Documents\GitHub\masters_project17\MATLAB\objective_log.m',18,0)">line 18</a>)
save(testing.txt, sums_for_P, '-append')

Error in <a href="matlab:matlab.internal.language.introspective.errorDocCallback('optimizer_log>@(cguess_flat)objective_log(cguess_flat,C,size(P),size(CL))')" style="font-weight:bold">optimizer_log>@(cguess_flat)objective_log(cguess_flat,C,size(P),size(CL))</a>

Error in <a href="matlab:matlab.internal.language.introspective.errorDocCallback('fmincon', 'C:\Program Files\MATLAB\R2017a\toolbox\shared\optimlib\fmincon.p', 536)" style="font-weight:bold">fmincon</a> (<a href="matlab: opentoline('C:\Program Files\MATLAB\R2017a\toolbox\shared\optimlib\fmincon.p',536,0)">line 536</a>)
      initVals.f = feval(funfcn{3},X,varargin{:});

Error in <a href="matlab:matlab.internal.language.introspective.errorDocCallback('optimizer_log', 'C:\Users\sarmc412\Documents\GitHub\masters_project17\MATLAB\optimizer_log.m', 173)" style="font-weight:bold">optimizer_log</a> (<a href="matlab: opentoline('C:\Users\sarmc412\Documents\GitHub\masters_project17\MATLAB\optimizer_log.m',173,0)">line 173</a>)
[x,fval,searchdir, optimValues, constraints] = fmincon(f, cguess_flat, A, b, Aeq, beq, lb, ub, [], options) ;

Caused by:
    Failure in initial objective function evaluation. FMINCON cannot continue.
} 
objective_log
{Not enough input arguments.

Error in <a href="matlab:matlab.internal.language.introspective.errorDocCallback('objective_log', 'C:\Users\sarmc412\Documents\GitHub\masters_project17\MATLAB\objective_log.m', 5)" style="font-weight:bold">objective_log</a> (<a href="matlab: opentoline('C:\Users\sarmc412\Documents\GitHub\masters_project17\MATLAB\objective_log.m',5,0)">line 5</a>)
prod_ps = prod(P_shape) ;                     %same as numel(P) but since we only import the shape of P here this is easier
} 
optimizer_log
Your initial point x0 is not between bounds lb and ub; FMINCON
shifted x0 to strictly satisfy the bounds.

{Error using <a href="matlab:matlab.internal.language.introspective.errorDocCallback('save')" style="font-weight:bold">save</a>
Argument must contain a character vector.

Error in <a href="matlab:matlab.internal.language.introspective.errorDocCallback('objective_log', 'C:\Users\sarmc412\Documents\GitHub\masters_project17\MATLAB\objective_log.m', 18)" style="font-weight:bold">objective_log</a> (<a href="matlab: opentoline('C:\Users\sarmc412\Documents\GitHub\masters_project17\MATLAB\objective_log.m',18,0)">line 18</a>)
save('testing', sums_for_P, '-append')

